date,tau_day,h_m,h_m2,h_k
2020-04-25,13,0.09944161028862498,0.011120542572911476,230.0544054231221
2020-04-25,34,0.11366757684876383,0.07673919098536536,427.56655831525785
2020-04-26,12,0.10991856626013813,0.03153261079851331,223.18607635588486
2020-04-26,33,0.1220767171113754,0.07870296702928942,381.99842427024873
2020-04-27,11,0.06611105364362219,0.03252471662919007,241.2592365343194
2020-04-27,32,0.13287039438673037,0.05104192192505737,451.56982227056767
2020-04-30,8,0.09132810249147763,0.027936975145546626,199.8346693848693
2020-04-30,15,0.2868859772169725,0.13484565186743322,482.69232910924643
2020-04-30,29,0.16819713482444856,0.05889836566722423,615.8716829648496
2020-05-01,14,0.12976111808410612,0.04152356149486374,443.93592867923826
2020-05-01,28,0.12067640718896136,0.06750490140276412,448.25564644246845
2020-05-02,13,0.11866287085440048,0.06288435116196073,413.5203548631311
